Address,Price,Links,Dates,Details,City
"322 N Geneva Street, Aurora, CO 80010","$560,990 ",https://www.zillow.com/homedetails/322-N-Geneva-St-Aurora-CO-80010/333901975_zpid/,12 days on Zillow From 2023-08-25,"3 bds3 ba1,715 sqft",Aurora
"91 S Sable Boulevard Unit F27, Aurora, CO 80012","$223,000 ",https://www.zillow.com/homedetails/91-S-Sable-Blvd-APT-F27-Aurora-CO-80012/13062795_zpid/,12 days on Zillow From 2023-08-25,1 bd1 ba602 sqft,Aurora
"851 Jamaica Street, Aurora, CO 80010","$499,900 ",https://www.zillow.com/homedetails/851-Jamaica-St-Aurora-CO-80010/13034683_zpid/,12 days on Zillow From 2023-08-25,"5 bds2 ba2,240 sqft",Aurora
"Plan 2583 Plan, Painted Prairie","$561,990+",https://www.zillow.com/community/painted-prairie/2062312986_zpid/,Open: Mon-Thurs: 10 AM-... From 2023-08-25,"4 bds3 ba2,573 sqft",Aurora
"Pinnacle Plan, Waterstone : The Pioneer Collection","$631,900+",https://www.zillow.com/community/waterstone-pioneer-collection/2081248359_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-25,"4 bds3 ba2,379 sqft",Aurora
"Daniel Plan, Landmark at Mead at Southshore","$793,950+",https://www.zillow.com/community/landmark-at-mead-at-southshore/2069179980_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-25,"3 bds2 ba2,320 sqft",Aurora
"21970 E Jamison Place, Aurora, CO 80016","$489,000 ",https://www.zillow.com/homedetails/21970-E-Jamison-Pl-Aurora-CO-80016/87623279_zpid/,13 days on Zillow From 2023-08-25,"3 bds3 ba2,591 sqft",Aurora
"22886 E Tufts Place Unit B, Aurora, CO 80015","$451,950 ",https://www.zillow.com/homedetails/22886-E-Tufts-Pl-B-Aurora-CO-80015/2056024030_zpid/,13 days on Zillow From 2023-08-25,"3 bds3 ba1,475 sqft",Aurora
"22908 E Tufts Place Unit B, Aurora, CO 80015","$451,950 ",https://www.zillow.com/homedetails/22908-E-Tufts-Pl-B-Aurora-CO-80015/2057454892_zpid/,13 days on Zillow From 2023-08-25,"3 bds3 ba1,475 sqft",Aurora
"181 S Waterloo Street, Aurora, CO 80018","$788,950 ",https://www.zillow.com/homedetails/181-S-Waterloo-Ct-Aurora-CO-80016/2056025067_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-25,"5 bds4 ba3,737 sqft",Aurora
"EDMON Plan, Harmony","$579,990+",https://www.zillow.com/community/harmony/2063468460_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-25,"4 bds3 ba1,844 sqft",Aurora
"2990 S Zeno Way, Aurora, CO 80013","$500,000 ",https://www.zillow.com/homedetails/2990-S-Zeno-Way-Aurora-CO-80013/13086181_zpid/,Open: Sat. 11am-2pm From 2023-08-25,"4 bds3 ba2,248 sqft",Aurora
"4415 N Quatar Court, Aurora, CO 80019","$465,000 ",https://www.zillow.com/homedetails/4415-N-Quatar-Ct-Aurora-CO-80019/337809923_zpid/,13 days on Zillow From 2023-08-25,"2 bds2 ba1,407 sqft",Aurora
"14282 E Hawaii Circle Unit D, Aurora, CO 80012","$216,000 ",https://www.zillow.com/homedetails/14282-E-Hawaii-Cir-UNIT-D-Aurora-CO-80012/13069343_zpid/,13 days on Zillow From 2023-08-25,"2 bds3 ba1,036 sqft",Aurora
"21871 E Allenspark Drive, Aurora, CO 80016","$935,000 ",https://www.zillow.com/homedetails/21871-E-Allenspark-Dr-Aurora-CO-80016/300015642_zpid/,Open: Sat. 12-2pm From 2023-08-25,"2 bds3 ba4,298 sqft",Aurora
"11571 E Cedar Avenue, Aurora, CO 80012","$354,900 ",https://www.zillow.com/homedetails/11571-E-Cedar-Ave-Aurora-CO-80012/13038894_zpid/,"Price cut: $5,100 (Aug 23) From 2023-08-25","3 bds3 ba1,728 sqft",Aurora
"17950 E Jarvis Place, Aurora, CO 80013","$549,000 ",https://www.zillow.com/homedetails/17950-E-Jarvis-Pl-Aurora-CO-80013/13095397_zpid/,3D Tour From 2023-08-25,"4 bds4 ba2,377 sqft",Aurora
"3851 S Genoa Court Unit D, Aurora, CO 80013","$440,000 ",https://www.zillow.com/homedetails/3851-S-Genoa-Ct-UNIT-D-Aurora-CO-80013/13092779_zpid/,Open: Fri. 8am-7:30pm From 2023-08-25,"4 bds4 ba1,713 sqft",Aurora
"19703 E Oxford Drive, Aurora, CO 80013","$435,000 ",https://www.zillow.com/homedetails/19703-E-Oxford-Dr-Aurora-CO-80013/13094924_zpid/,14 days on Zillow From 2023-08-25,"4 bds2 ba1,675 sqft",Aurora
"7776 S Eaton Park Court, Aurora, CO 80016","$800,000 ",https://www.zillow.com/homedetails/7776-S-Eaton-Park-Ct-Aurora-CO-80016/122250211_zpid/,3D Tour From 2023-08-25,"6 bds3 ba4,185 sqft",Aurora
"Stella Plan, The Aurora Highlands Horizon Collection","$492,990+",https://www.zillow.com/community/aurora-highlands-horizon-collection/2056057781_zpid/,Open: Mon:10AM-6PM;Tue:... From 2023-08-25,"4 bds3 ba1,951 sqft",Aurora
"Meridian Plan, The Aurora Highlands Horizon Collection","$497,990+",https://www.zillow.com/community/aurora-highlands-horizon-collection/2056057782_zpid/,Open: Mon:10AM-6PM;Tue:... From 2023-08-25,"4 bds3 ba2,076 sqft",Aurora
"24073 E Florida Avenue, Aurora, CO 80018","$579,000 ",https://www.zillow.com/homedetails/24073-E-Florida-Ave-Aurora-CO-80018/99661926_zpid/,"Price cut: $16,000 (Aug 25) From 2023-08-25","4 bds4 ba2,623 sqft",Aurora
"2229 S Nome Court, Aurora, CO 80014","$509,900 ",https://www.zillow.com/homedetails/2229-S-Nome-Ct-Aurora-CO-80014/13053190_zpid/,15 days on Zillow From 2023-08-25,"2 bds3 ba2,044 sqft",Aurora
"Exeter Plan, The Aurora Highlands","$633,990+",https://www.zillow.com/community/aurora-highlands/2066578054_zpid/,Open: M:10AM-6PM;Tu:10A... From 2023-08-25,"3 bds2 ba2,262 sqft",Aurora
"2219 Elmira Street, Aurora, CO 80010","$440,000 ",https://www.zillow.com/homedetails/2219-Elmira-St-Aurora-CO-80010/13019071_zpid/,15 days on Zillow From 2023-08-25,"3 bds1 ba1,000 sqft",Aurora
"1756 S Buchanan Circle, Aurora, CO 80018","$415,000 ",https://www.zillow.com/homedetails/1756-S-Buchanan-Cir-Aurora-CO-80018/87625827_zpid/,15 days on Zillow From 2023-08-25,"2 bds3 ba1,294 sqft",Aurora
"4513 S Richfield Street, Aurora, CO 80015","$440,000 ",https://www.zillow.com/homedetails/4513-S-Richfield-St-Aurora-CO-80015/13107189_zpid/,15 days on Zillow From 2023-08-25,"3 bds2 ba1,240 sqft",Aurora
"14152 E Linvale Place Unit 504, Aurora, CO 80014","$420,000 ",https://www.zillow.com/homedetails/14152-E-Linvale-Pl-APT-504-Aurora-CO-80014/13082379_zpid/,15 days on Zillow From 2023-08-25,"2 bds2 ba1,380 sqft",Aurora
"24472 E Atlantic Drive, Aurora, CO 80018","$565,000 ",https://www.zillow.com/homedetails/24472-E-Atlantic-Dr-Aurora-CO-80014/2056085537_zpid/,Open: Mon 1-6 ; Tue 9-6... From 2023-08-25,"3 bds3 ba2,569 sqft",Aurora
"1668 S Quintero Way, Aurora, CO 80017","$500,000 ",https://www.zillow.com/homedetails/1668-S-Quintero-Way-Aurora-CO-80017/13073573_zpid/,"Price cut: $49,000 (Aug 24) From 2023-08-25","6 bds3 ba1,764 sqft",Aurora
"25858 E Bayaud Avenue, Aurora, CO 80018","$649,000 ",https://www.zillow.com/homedetails/25858-E-Bayaud-Ave-Aurora-CO-80018/99646891_zpid/,3D Tour From 2023-08-25,"4 bds3 ba3,278 sqft",Aurora
"440 Uvalda Street, Aurora, CO 80011","$481,000 ",https://www.zillow.com/homedetails/440-Uvalda-St-Aurora-CO-80011/13039613_zpid/,Open: Fri. 8am-7:30pm From 2023-08-25,"4 bds3 ba2,240 sqft",Aurora
"17603 E Peakview Avenue, Aurora, CO 80016","$799,500 ",https://www.zillow.com/homedetails/17603-E-Peakview-Ave-Aurora-CO-80016/54646738_zpid/,"Price cut: $50,500 (Aug 18) From 2023-08-25","5 bds4 ba4,839 sqft",Aurora
"26732 E Hinsdale Place, Aurora, CO 80016","$777,000 ",https://www.zillow.com/homedetails/26732-E-Hinsdale-Pl-Aurora-CO-80016/295017445_zpid/,"Price cut: $12,900 (Aug 22) From 2023-08-25","4 bds4 ba4,107 sqft",Aurora
"5704 N Gibralter Way Unit 106, Aurora, CO 80019","$336,000 ",https://www.zillow.com/homedetails/5704-N-Gibralter-Way-APT-106-Aurora-CO-80019/63242160_zpid/,16 days on Zillow From 2023-08-25,"2 bds2 ba1,126 sqft",Aurora
"3848 N Grand Baker Street, Aurora, CO 80019","$783,950 ",https://www.zillow.com/homedetails/3848-N-Grand-Baker-St-Aurora-CO-80019/2056070067_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-25,"5 bds4 ba3,964 sqft",Aurora
"1635 Ironton Street, Aurora, CO 80010","$409,999 ",https://www.zillow.com/homedetails/1635-Ironton-St-Aurora-CO-80010/13021474_zpid/,"Price cut: $10,000 (Aug 24) From 2023-08-25","3 bds1 ba1,050 sqft",Aurora
"8833 S Quemoy Court, Aurora, CO 80016","$900,000 ",https://www.zillow.com/homedetails/8833-S-Quemoy-Ct-Aurora-CO-80016/331684388_zpid/,3D Tour From 2023-08-25,"3 bds3 ba3,998 sqft",Aurora
"Alpine Plan, Harmony","$476,990+",https://www.zillow.com/community/harmony/2064153779_zpid/,Open: Monday?Saturday 1... From 2023-08-25,"3 bds2 ba1,700 sqft",Aurora
"7217 S Scottsburg Way, Aurora, CO 80016","$795,000 ",https://www.zillow.com/homedetails/7217-S-Scottsburg-Way-Aurora-CO-80016/295017312_zpid/,3D Tour From 2023-08-25,"4 bds4 ba3,926 sqft",Aurora
"1763 S Andes Circle, Aurora, CO 80017","$474,950 ",https://www.zillow.com/homedetails/1763-S-Andes-Way-Aurora-CO-80017/338358354_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-25,"3 bds3 ba1,430 sqft",Aurora
"1761 S Andes Circle, Aurora, CO 80017","$474,950 ",https://www.zillow.com/homedetails/1761-S-Andes-Way-Aurora-CO-80017/338358087_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-25,"3 bds3 ba1,475 sqft",Aurora
"16363 E 8th Place Avenue, Aurora, CO 80011","$465,000 ",https://www.zillow.com/homedetails/16363-E-8th-Pl-Aurora-CO-80011/13061220_zpid/,"Price cut: $5,000 (Aug 23) From 2023-08-25","3 bds2 ba1,848 sqft",Aurora
"650 S Norfolk Way, Aurora, CO 80017","$410,000 ",https://www.zillow.com/homedetails/650-S-Norfolk-Way-Aurora-CO-80017/68049629_zpid/,3D Tour From 2023-08-25,"2 bds3 ba1,714 sqft",Aurora
"BELLAMY Plan, Harmony","$593,990+",https://www.zillow.com/community/harmony/2063468465_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-25,"4 bds3 ba2,125 sqft",Aurora
"17105 E Chenango Avenue Unit A, Aurora, CO 80015","$295,000 ",https://www.zillow.com/homedetails/17105-E-Chenango-Ave-UNIT-A-Aurora-CO-80015/13108055_zpid/,16 days on Zillow From 2023-08-25,2 bds2 ba992 sqft,Aurora
"6016 N Netherland Court, Aurora, CO 80019","$750,000 ",https://www.zillow.com/homedetails/6016-N-Netherland-Ct-Aurora-CO-80019/313208328_zpid/,Open: Sat. 2-4pm From 2023-08-25,"4 bds4 ba3,217 sqft",Aurora
"7115 S Yantley Way, Aurora, CO 80016","$1,043,950 ",https://www.zillow.com/homedetails/7115-S-Yantley-Way-Aurora-CO-80016/338355884_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-25,"4 bds5 ba5,061 sqft",Aurora
"19249 E Bates Avenue, Aurora, CO 80013","$575,000 ",https://www.zillow.com/homedetails/19249-E-Bates-Ave-Aurora-CO-80013/13088643_zpid/,3D Tour From 2023-08-25,"4 bds4 ba2,250 sqft",Aurora
"2275 Emporia Street, Aurora, CO 80010","$475,000 ",https://www.zillow.com/homedetails/2275-Emporia-St-Aurora-CO-80010/13019090_zpid/,Open: Fri. 8am-7:30pm From 2023-08-25,"4 bds2 ba1,542 sqft",Aurora
"588 S Mobile Street, Aurora, CO 80017","$390,000 ",https://www.zillow.com/homedetails/588-S-Mobile-Pl-Aurora-CO-80017/68049659_zpid/,17 days on Zillow From 2023-08-25,"2 bds3 ba1,714 sqft",Aurora
"14744 E Crestridge Drive, Centennial, CO 80015","$524,900 ",https://www.zillow.com/homedetails/14744-E-Crestridge-Dr-Centennial-CO-80015/125962700_zpid/,17 days on Zillow From 2023-08-25,"3 bds4 ba1,995 sqft",Aurora
"Antero Plan, Harmony","$489,990+",https://www.zillow.com/community/harmony/2064153783_zpid/,Open: Monday?Saturday 1... From 2023-08-25,"3 bds3 ba2,131 sqft",Aurora
"14109 E Dickinson Drive Unit B, Aurora, CO 80014","$239,900 ",https://www.zillow.com/homedetails/14109-E-Dickinson-Dr-UNIT-B-Aurora-CO-80014/13081475_zpid/,17 days on Zillow From 2023-08-25,1 bd1 ba725 sqft,Aurora
"Harvard ; Residence 50266 Plan, The Outlook at Southshore","$865,990+",https://www.zillow.com/community/outlook-at-southshore/2063415428_zpid/,Open: Mon 10 - 6 Tue 10... From 2023-08-25,"5 bds5 ba3,548 sqft",Aurora
"3013 Vaughn Street, Aurora, CO 80011","$499,900 ",https://www.zillow.com/homedetails/3013-Vaughn-St-Aurora-CO-80011/13018623_zpid/,"Price cut: $20,100 (Aug 23) From 2023-08-25","4 bds2 ba1,900 sqft",Aurora
"22849 E Union Avenue, Aurora, CO 80015","$540,000 ",https://www.zillow.com/homedetails/22849-E-Union-Ave-Aurora-CO-80015/124749482_zpid/,17 days on Zillow From 2023-08-25,"2 bds2 ba1,423 sqft",Aurora
"23594 E Clifton Place, Aurora, CO 80016","$825,000 ",https://www.zillow.com/homedetails/23594-E-Clifton-Pl-Aurora-CO-80016/54644606_zpid/,"Price cut: $10,000 (Aug 24) From 2023-08-25","3 bds3 ba3,610 sqft",Aurora
"17473 E Mansfield Avenue Unit 111wl, Aurora, CO 80013","$249,900 ",https://www.zillow.com/homedetails/17473-E-Mansfield-Ave-APT-111WL-Aurora-CO-80013/13096681_zpid/,17 days on Zillow From 2023-08-25,1 bd1 ba800 sqft,Aurora
"14872 E Kansas Place, Aurora, CO 80012","$530,000 ",https://www.zillow.com/homedetails/14872-E-Kansas-Pl-Aurora-CO-80012/13067791_zpid/,14 days on Zillow From 2023-08-25,"5 bds4 ba2,320 sqft",Aurora
"1540 Billings Street Lot C28, Aurora, CO 80011","$28,000 ",https://www.zillow.com/homedetails/1540-Billings-St-28C-Aurora-CO-80011/58645670_zpid/,14 days on Zillow From 2023-08-25,2 bds2 ba784 sqft,Aurora
"1697 S Andes Way, Aurora, CO 80017","$474,900 ",https://www.zillow.com/homedetails/1697-S-Andes-Cir-Aurora-CO-80017/338358085_zpid/,14 days on Zillow From 2023-08-25,"3 bds3 ba1,474 sqft",Aurora
"12823 E Nevada Circle, Aurora, CO 80012","$525,000 ",https://www.zillow.com/homedetails/12823-E-Nevada-Cir-Aurora-CO-80012/13041204_zpid/,"Price cut: $5,000 (Aug 25) From 2023-08-25","3 bds2 ba2,190 sqft",Aurora
"15541 E Jewell Place, Aurora, CO 80013","$500,000 ",https://www.zillow.com/homedetails/15541-E-Jewell-Pl-Aurora-CO-80013/13079289_zpid/,"Price cut: $15,000 (Aug 18) From 2023-08-25","4 bds3 ba1,764 sqft",Aurora
"22911 E Euclid Circle, Aurora, CO 80016","$819,900 ",https://www.zillow.com/homedetails/22911-E-Euclid-Cir-Aurora-CO-80016/54483703_zpid/,Open: Sun. 11am-1pm From 2023-08-25,"5 bds5 ba4,547 sqft",Aurora
"1550 S Telluride Street, Aurora, CO 80017","$530,000 ",https://www.zillow.com/homedetails/1550-S-Telluride-St-Aurora-CO-80017/13073268_zpid/,14 days on Zillow From 2023-08-25,"7 bds2 ba2,250 sqft",Aurora
"13553 E Kentucky Place, Aurora, CO 80012","$376,000 ",https://www.zillow.com/homedetails/13553-E-Kentucky-Pl-Aurora-CO-80012/13042232_zpid/,14 days on Zillow From 2023-08-25,2 bds1 ba903 sqft,Aurora
"1292 S Crystal Way, Aurora, CO 80012","$338,000 ",https://www.zillow.com/homedetails/1292-S-Crystal-Way-Aurora-CO-80012/13068082_zpid/,14 days on Zillow From 2023-08-25,"Studio -- ba1,258 sqft",Aurora
"1685 S Fundy Street, Aurora, CO 80017","$437,000 ",https://www.zillow.com/homedetails/1685-S-Fundy-St-Aurora-CO-80017/13075943_zpid/,Open: Sun. 12-2pm From 2023-08-25,"3 bds1 ba1,113 sqft",Aurora
"Alexandrite Plan, Harmony","$549,950+",https://www.zillow.com/community/harmony/2067387758_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-25,"3 bds2 ba1,740 sqft",Aurora
"26925 E Costilla Drive, Aurora, CO 80016","$809,900 ",https://www.zillow.com/homedetails/26925-E-Costilla-Dr-Aurora-CO-80016/87625844_zpid/,14 days on Zillow From 2023-08-25,"3 bds3 ba4,694 sqft",Aurora
"Magnolia ; Residence 40111 Plan, The Outlook at Southshore","$644,990+",https://www.zillow.com/community/outlook-at-southshore/2063415425_zpid/,Open: Mon 10 - 6 Tue 10... From 2023-08-25,"2 bds3 ba1,806 sqft",Aurora
"6354 S Sicily Way, Aurora, CO 80016","$875,000 ",https://www.zillow.com/homedetails/6354-S-Sicily-Way-Aurora-CO-80016/13122510_zpid/,Open: Sat. 11am-1pm From 2023-08-25,"6 bds6 ba5,491 sqft",Aurora
"19456 E 58th Circle, Aurora, CO 80019","$449,000 ",https://www.zillow.com/homedetails/19456-E-58th-Cir-Aurora-CO-80019/49457215_zpid/,14 days on Zillow From 2023-08-25,"3 bds2 ba1,294 sqft",Aurora
"14333 E 1st Drive Unit 306, Aurora, CO 80011","$350,000 ",https://www.zillow.com/homedetails/14333-E-1st-Dr-UNIT-306-Aurora-CO-80011/58889038_zpid/,14 days on Zillow From 2023-08-25,"3 bds2 ba1,543 sqft",Aurora
"14214 E 1st Drive Unit B08, Aurora, CO 80011","$300,000 ",https://www.zillow.com/homedetails/14214-E-1st-Dr-APT-B08-Aurora-CO-80011/13062870_zpid/,14 days on Zillow From 2023-08-25,"2 bds2 ba1,032 sqft",Aurora
"14216 E 1st Drive Unit B03, Aurora, CO 80011","$225,000 ",https://www.zillow.com/homedetails/14216-E-1st-Dr-APT-B03-Aurora-CO-80011/13062855_zpid/,14 days on Zillow From 2023-08-25,1 bd1 ba756 sqft,Aurora
"1635 S Buckley Circle, Aurora, CO 80017","$435,000 ",https://www.zillow.com/homedetails/1635-S-Buckley-Cir-Aurora-CO-80017/13074122_zpid/,14 days on Zillow From 2023-08-25,"2 bds3 ba1,235 sqft",Aurora
"15462 E Bails Drive, Aurora, CO 80017","$539,900 ",https://www.zillow.com/homedetails/15462-E-Bails-Dr-Aurora-CO-80017/2061204739_zpid/,Open: Sat. 10am-4pm From 2023-08-25,"3 bds3 ba1,749 sqft",Aurora
"11159 E 25th Drive, Aurora, CO 80010","$595,000 ",https://www.zillow.com/homedetails/11159-E-25th-Dr-Aurora-CO-80010/245119866_zpid/,Open: Sat. 12am-3pm From 2023-08-25,"3 bds3 ba2,300 sqft",Aurora
"9412-9414 E Mexico Avenue, Denver, CO 80247","$1,312,800 ",https://www.zillow.com/homedetails/9412-9414-E-Mexico-Ave-Denver-CO-80247/2056040736_zpid/,14 days on Zillow From 2023-08-25,"-- bds8 ba2,488 sqft",Aurora
"CHATHAM Plan, Harmony","$574,990+",https://www.zillow.com/community/harmony/2063468459_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-25,"4 bds2 ba1,771 sqft",Aurora
"3714 S Espana Way, Aurora, CO 80013","$415,000 ",https://www.zillow.com/homedetails/3714-S-Espana-Way-Aurora-CO-80013/13092880_zpid/,14 days on Zillow From 2023-08-25,"2 bds2 ba1,760 sqft",Aurora
"21004 E Jefferson Circle, Aurora, CO 80013","$625,000 ",https://www.zillow.com/homedetails/21004-E-Jefferson-Cir-Aurora-CO-80013/87621577_zpid/,14 days on Zillow From 2023-08-25,"3 bds3 ba3,432 sqft",Aurora
"1290 Beeler Street, Aurora, CO 80010","$449,000 ",https://www.zillow.com/homedetails/1290-Beeler-St-Aurora-CO-80010/13036327_zpid/,14 days on Zillow From 2023-08-25,2 bds1 ba936 sqft,Aurora
"19602 E Bethany Drive, Aurora, CO 80013","$440,900 ",https://www.zillow.com/homedetails/19602-E-Bethany-Dr-Aurora-CO-80013/13087691_zpid/,14 days on Zillow From 2023-08-25,"4 bds2 ba1,200 sqft",Aurora
"16307 E Center Drive E, Aurora, CO 80017","$460,000 ",https://www.zillow.com/homedetails/16307-E-Center-Dr-Aurora-CO-80017/13064971_zpid/,14 days on Zillow From 2023-08-25,"3 bds3 ba1,792 sqft",Aurora
"11984 E Harvard Avenue, Aurora, CO 80014","$397,000 ",https://www.zillow.com/homedetails/11984-E-Harvard-Ave-Aurora-CO-80014/13054122_zpid/,"Price cut: $13,000 (Aug 20) From 2023-08-25","2 bds3 ba1,948 sqft",Aurora
"4804 S Nucla Way, Aurora, CO 80015","$535,000 ",https://www.zillow.com/homedetails/4804-S-Nucla-Way-Aurora-CO-80015/13106708_zpid/,15 days on Zillow From 2023-08-25,"4 bds2 ba1,824 sqft",Aurora
"4264 S Halifax Way, Aurora, CO 80013","$518,500 ",https://www.zillow.com/homedetails/4264-S-Halifax-Way-Aurora-CO-80013/13095107_zpid/,3D Tour From 2023-08-25,"3 bds3 ba2,042 sqft",Aurora
"1296 S Uvalda Street, Aurora, CO 80012","$269,800 ",https://www.zillow.com/homedetails/1296-S-Uvalda-St-Aurora-CO-80012/13049335_zpid/,15 days on Zillow From 2023-08-25,2 bds1 ba840 sqft,Aurora
"8119 S Country Club Parkway, Aurora, CO 80016","$899,900 ",https://www.zillow.com/homedetails/8119-S-Country-Club-Pkwy-Aurora-CO-80016/87624344_zpid/,15 days on Zillow From 2023-08-25,"4 bds5 ba4,400 sqft",Aurora
"364 S Ironton Street Unit 216, Aurora, CO 80012","$197,900 ",https://www.zillow.com/homedetails/364-S-Ironton-St-APT-216-Aurora-CO-80012/13043168_zpid/,15 days on Zillow From 2023-08-25,1 bd1 ba700 sqft,Aurora
"13177 E Alaska Avenue, Aurora, CO 80012","$459,000 ",https://www.zillow.com/homedetails/13177-E-Alaska-Ave-Aurora-CO-80012/13040943_zpid/,"Price cut: $10,000 (Aug 22) From 2023-08-25","3 bds3 ba1,756 sqft",Aurora
"5916 S Winnipeg Street, Aurora, CO 80015","$498,500 ",https://www.zillow.com/homedetails/5916-S-Winnipeg-St-Aurora-CO-80015/54647257_zpid/,Open: Sat. 12am-2pm From 2023-08-25,"3 bds2 ba2,320 sqft",Aurora
"4084 S Riviera Street, Aurora, CO 80018","$565,000 ",https://www.zillow.com/homedetails/4084-S-Riviera-St-Aurora-CO-80018/54644768_zpid/,3D Tour From 2023-08-25,"4 bds3 ba2,170 sqft",Aurora
"23975 E Arizona Place, Aurora, CO 80018","$642,000 ",https://www.zillow.com/homedetails/23975-E-Arizona-Pl-Aurora-CO-80018/63153136_zpid/,15 days on Zillow From 2023-08-25,"5 bds4 ba3,248 sqft",Aurora
"19850 E Columbia Avenue, Aurora, CO 80013","$439,900 ",https://www.zillow.com/homedetails/19850-E-Columbia-Ave-Aurora-CO-80013/13087771_zpid/,"Price cut: $9,600 (Aug 21) From 2023-08-25","2 bds2 ba2,267 sqft",Aurora
"Aurora Plan, The Aurora Highlands Horizon Collection","$469,990+",https://www.zillow.com/community/aurora-highlands-horizon-collection/2056057779_zpid/,Open: Mon:10AM-6PM;Tue:... From 2023-08-25,"4 bds3 ba1,794 sqft",Aurora
"Celeste Plan, The Aurora Highlands Horizon Collection","$459,990+",https://www.zillow.com/community/aurora-highlands-horizon-collection/2056057780_zpid/,Open: Mon:10AM-6PM;Tue:... From 2023-08-25,"3 bds3 ba1,606 sqft",Aurora
"2541 S Olathe Way, Aurora, CO 80013","$550,000 ",https://www.zillow.com/homedetails/2541-S-Olathe-Way-Aurora-CO-80013/13080577_zpid/,22 days on Zillow From 2023-08-25,"3 bds3 ba2,640 sqft",Aurora
"1 S Eagle Circle, Aurora, CO 80012","$425,000 ",https://www.zillow.com/homedetails/1-S-Eagle-Cir-Aurora-CO-80012/13063059_zpid/,"Price cut: $15,000 (Aug 14) From 2023-08-25","3 bds2 ba1,936 sqft",Aurora
"2680 S Vaughn Way Unit B, Aurora, CO 80014","$449,000 ",https://www.zillow.com/homedetails/2680-S-Vaughn-Way-APT-B-Aurora-CO-80014/13052114_zpid/,22 days on Zillow From 2023-08-25,"4 bds4 ba2,418 sqft",Aurora
"24 Nome Way Unit B, Aurora, CO 80012","$320,000 ",https://www.zillow.com/homedetails/24-Nome-Way-UNIT-B-Aurora-CO-80012/13038740_zpid/,22 days on Zillow From 2023-08-25,2 bds2 ba944 sqft,Aurora
"23522 E Bailey Place, Aurora, CO 80016","$999,900 ",https://www.zillow.com/homedetails/23522-E-Bailey-Pl-Aurora-CO-80016/123456762_zpid/,22 days on Zillow From 2023-08-25,"4 bds5 ba5,490 sqft",Aurora
"17700 E Bates Avenue, Aurora, CO 80013","$499,900 ",https://www.zillow.com/homedetails/17700-E-Bates-Ave-Aurora-CO-80013/13087046_zpid/,"Price cut: $20,000 (Aug 18) From 2023-08-25","4 bds2 ba1,644 sqft",Aurora
"2149 S Joliet Court, Aurora, CO 80014","$635,000 ",https://www.zillow.com/homedetails/2149-S-Joliet-Ct-Aurora-CO-80014/13053318_zpid/,22 days on Zillow From 2023-08-25,"4 bds3 ba3,020 sqft",Aurora
"12091 E Hoye Drive, Aurora, CO 80012","$350,000 ",https://www.zillow.com/homedetails/12091-E-Hoye-Dr-Aurora-CO-80012/13044461_zpid/,Open: Sat. 11am-1pm From 2023-08-25,"2 bds2 ba1,064 sqft",Aurora
"7844 S Elk Street, Aurora, CO 80016","$719,000 ",https://www.zillow.com/homedetails/7844-S-Elk-St-Aurora-CO-80016/122255573_zpid/,Video Walkthrough From 2023-08-25,"4 bds3 ba3,618 sqft",Aurora
"21952 E Layton Drive, Aurora, CO 80015","$825,000 ",https://www.zillow.com/homedetails/21952-E-Layton-Dr-Aurora-CO-80015/122251058_zpid/,"Price cut: $25,000 (Aug 24) From 2023-08-25","5 bds3 ba4,642 sqft",Aurora
"1651 Ensenada Street, Aurora, CO 80011","$419,900 ",https://www.zillow.com/homedetails/1651-Ensenada-St-Aurora-CO-80011/13013500_zpid/,Price cut: $100 (Aug 23) From 2023-08-25,"3 bds2 ba1,200 sqft",Aurora
"ELDER Plan, Harmony","$595,990+",https://www.zillow.com/community/harmony/2063468463_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-25,"4 bds3 ba2,156 sqft",Aurora
"6242 S Oak Hill Court, Aurora, CO 80016","$1,350,000 ",https://www.zillow.com/homedetails/6242-S-Oak-Hill-Ct-Aurora-CO-80016/87628275_zpid/,Open: Sun. 12-3pm From 2023-08-25,"6 bds5 ba5,360 sqft",Aurora
"15814 E Exposition Drive, Aurora, CO 80017","$495,000 ",https://www.zillow.com/homedetails/15814-E-Exposition-Dr-Aurora-CO-80017/13065874_zpid/,3D Tour From 2023-08-25,"3 bds2 ba2,176 sqft",Aurora
"11607 E Cornell Circle, Aurora, CO 80014","$430,000 ",https://www.zillow.com/homedetails/11607-E-Cornell-Cir-Aurora-CO-80014/13057645_zpid/,"Price cut: $5,000 (Aug 23) From 2023-08-25","3 bds3 ba2,487 sqft",Aurora
